"","HHID","ProvinceCode","HIndivNo","Region","Total_Exp_Month","Total_Exp_Month_nondurable","Size","EqSizeRevOECD","Weight","Decile","HSex","HEduLevel","HEduYears","HActivityState","Benzin_Exp","Transportation_Exp","Other_Exp","Benzin_Exp_Add","Mehr98","Yaraneh2","Yaraneh","BenzinP1","TransportationP1","Other_ExpP1","BenzinP2","TransportationP2","Other_ExpP2","BenzinShare","TransportationShare","Other_ExpShare","CV","Loss","Loss_Amount","taxicode","Loss_Share"
"435","21508560802",15,1,"Rural",5545763.66666667,5298000,3,2.4,272,2,"Female","Illiterate",0,"Income without Work",0,320000,5225763.66666667,0,205.8,1380000,1380000,0,480700.729927007,7850088.77810219,0,533577.810218978,10205115.4115328,0,0.0577017015570624,0.942298298442938,-1598298.05672573,1,218298.056725727,0,0.0393630291239831
"436","21509561608",15,1,"Rural",8808694,8103000,6,4.1,278,2,"Male","Illiterate",0,"Employed",0,950000,7858694,0,205.8,2050000,2050000,0,1427080.2919708,11805249.8189781,0,1584059.12408759,15346824.7646715,0,0.107847996536149,0.892152003463851,-2449126.14402358,1,399126.144023577,0,0.045310478945412
"437","21509561705",15,1,"Rural",6600296,6300500,4,2.7,232,3,"Male","Secondary",8,"Employed",0,320000,6280296,0,205.8,1720000,1720000,0,480700.729927007,9434196.4729927,0,533577.810218978,12264455.4148905,0,0.0484826741103732,0.951517325889627,-1914610.15112604,1,194610.151126039,0,0.0294850641737944
"438","21510562102",15,1,"Rural",6088962.66666667,5985000,4,2.7,253,2,"Male","Secondary",8,"Employed",0,3e+05,5788962.66666667,0,205.8,1720000,1720000,0,450656.934306569,8696120.56058394,0,500229.197080292,11304956.7287591,0,0.0492694760048893,0.950730523995111,-1765306.37735935,1,45306.3773593521,0,0.00744073824058352
"439","21601564108",16,1,"Rural",6787712.66666667,6455000,4,3.1,148,4,"Male","Illiterate",0,"Income without Work",0,150000,6637712.66666667,0,207.7,1720000,1720000,0,227408.759124088,10063160.006326,0,252423.722627737,13082108.0082238,0,0.0220987551132836,0.977901244886716,-2005556.69990642,1,285556.699906417,0,0.0420696505479288
"440","21602564808",16,1,"Rural",7395811.66666667,6824400,5,3.6,94,3,"Male","Primary",5,"Employed",0,250000,7145811.66666667,0,207.7,2050000,2050000,0,379014.598540146,10833467.7603406,0,420706.204379562,14083508.0884428,0,0.0338029159296692,0.966197084070331,-2167529.00918429,1,117529.009184287,0,0.0158912928670151
"441","21602565105",16,1,"Rural",6316129.33333333,5894500,4,2.9,94,4,"Male","Illiterate",0,"Employed",0,2e+05,6116129.33333333,0,207.7,1720000,1720000,0,303211.678832117,9272409.21557178,0,336564.96350365,12054131.9802433,0,0.0316649627398383,0.968335037260162,-1853860.29251079,1,133860.292510793,0,0.0211934058734906
"442","21604567102",16,1,"Rural",6993129.33333333,4135000,4,2.9,117,2,"Male","Primary",5,"Employed",0,4e+05,6593129.33333333,0,207.7,1720000,1720000,0,606423.357664234,9995569.06958637,0,673129.927007299,12994239.7904623,0,0.0571989993225732,0.942801000677427,-2016146.75255195,1,296146.75255195,0,0.0423482447465031
"443","21604567108",16,1,"Rural",7932661.66666667,7705000,5,3.6,117,4,"Male","Illiterate",0,"Employed",0,3e+05,7632661.66666667,0,207.7,2050000,2050000,0,454817.518248175,11571560.7895377,0,504847.445255474,15043029.026399,0,0.0378183278962484,0.962181672103752,-2318360.58543601,1,268360.585436011,0,0.0338298287148274
"444","21604567117",16,1,"Rural",8101277.33333333,7367000,6,4.3,117,3,"Male","Illiterate",0,"Employed",0,3e+05,7801277.33333333,0,207.7,2050000,2050000,0,454817.518248175,11827191.9863747,0,504847.445255474,15375349.5822871,0,0.0370311973848404,0.96296880261516,-2368941.46856708,1,318941.468567085,0,0.039369281589062
