"","Region","NewArea","NewArea2","Decile","N","Max","Min","Mean"
"355","Urban",22,"Hormozgan","1",115,4364117.64705882,1792187.5,3378787.70048875
"356","Urban",22,"Hormozgan","8",58,13780740.7407407,11494074.0740741,12410911.067224
"357","Urban",22,"Hormozgan","10",46,41855882.3529412,18521764.7058824,25023331.7710686
"358","Urban",22,"Hormozgan","6",55,9747226.66666667,8458823.52941176,9083670.63413539
"359","Urban",22,"Hormozgan","4",70,7361470.58823529,6393225.80645161,6891830.12614543
"360","Urban",2301,"Sh_Tehran","10",178,160092750,29777400,44096103.716014
"361","Urban",2301,"Sh_Tehran","2",59,8736444.44444445,7036222.22222222,7966412.946946
"362","Urban",2301,"Sh_Tehran","6",93,15656333.3333333,13605588.2352941,14559910.4197219
"363","Urban",2301,"Sh_Tehran","4",84,11838181.8181818,10271111.1111111,11089930.7132595
"364","Urban",2301,"Sh_Tehran","7",108,18409647.0588235,15688444.4444444,16979710.7377039
"365","Urban",2301,"Sh_Tehran","9",145,29585625,22344444.4444444,25949640.8527853
"366","Urban",2301,"Sh_Tehran","8",121,22330000,18466705.8823529,20458595.7683862
"367","Urban",2301,"Sh_Tehran","1",55,6981416.66666667,2813621.62162162,5685508.10884858
"368","Urban",2301,"Sh_Tehran","5",97,13590200,11868789.4736842,12753988.5032902
"369","Urban",2301,"Sh_Tehran","3",76,10232263.1578947,8758931.03448276,9532904.02214241
"370","Urban",23,"Tehran","8",27,15158518.5185185,12709600,13768286.0617671
"371","Urban",23,"Tehran","3",97,7038823.52941176,6014666.66666667,6517394.34390934
"372","Urban",23,"Tehran","10",12,57108750,20719411.7647059,27455146.3823013
"373","Urban",23,"Tehran","5",40,9298000,8138080,8686616.26122787
"374","Urban",23,"Tehran","7",37,12552352.9411765,10766206.8965517,11531655.4320027
"375","Urban",23,"Tehran","6",41,10741000,9354074.07407407,10052636.8185285
"376","Urban",23,"Tehran","9",15,20285000,15391000,16886601.0819773
"377","Urban",23,"Tehran","2",105,5991250,4830882.35294118,5442772.33453283
"378","Urban",23,"Tehran","4",57,8136111.11111111,7040483.87096774,7512055.99124451
"379","Urban",23,"Tehran","1",80,4804222.22222222,2880000,4144009.22087127
"380","Urban",24,"Ardebil","8",31,11044545.4545455,9396590.90909091,10398613.7257747
"381","Urban",24,"Ardebil","10",23,47938000,15137909.0909091,20377205.3214643
"382","Urban",24,"Ardebil","7",54,9355294.11764706,7960588.23529412,8560034.8533101
"383","Urban",24,"Ardebil","1",52,3530131.57894737,1663000,2831973.67117898
"384","Urban",24,"Ardebil","4",67,5995806.4516129,5232903.22580645,5612192.17781382
"385","Urban",24,"Ardebil","6",49,7937777.77777778,6899545.45454545,7401691.03894138
"386","Urban",24,"Ardebil","2",71,4439583.33333333,3585388.88888889,3972763.2054031
"387","Urban",24,"Ardebil","3",58,5192916.66666667,4446176.47058824,4807725.43124038
"388","Urban",24,"Ardebil","5",58,6859090.90909091,6023333.33333333,6384448.96489178
"389","Urban",24,"Ardebil","9",40,14997727.2727273,11367647.0588235,12814883.7253143
"390","Urban",25,"Ghom","1",46,3470468.29268293,1573000,2973997.96741636
"391","Urban",25,"Ghom","9",52,14752483.8709677,11111300,12754351.373207
"392","Urban",25,"Ghom","3",59,5095566.66666667,4382055.55555556,4770836.37754293
"393","Urban",25,"Ghom","2",51,4351090.90909091,3488355.55555556,3937721.62379278
"394","Urban",25,"Ghom","10",45,85147235.2941176,14975900,26334814.3793821
"395","Urban",25,"Ghom","4",54,5864370.37037037,5100222.22222222,5509525.89987723
"396","Urban",25,"Ghom","6",58,7779529.41176471,6764259.09090909,7302089.69960559
"397","Urban",25,"Ghom","5",69,6751588.88888889,5897636.36363636,6349923.24097931
"398","Urban",25,"Ghom","8",52,11036370.3703704,9173117.64705882,10188931.6120255
"399","Urban",25,"Ghom","7",53,9066111.11111111,7847100,8457712.73796305
"400","Urban",26,"Ghazvin","5",60,6724062.5,5933181.81818182,6366959.63097905
"401","Urban",26,"Ghazvin","6",48,7780208.33333333,6801851.85185185,7244767.21078004
"402","Urban",26,"Ghazvin","9",51,14681176.4705882,11177647.0588235,12680820.4591636
"403","Urban",26,"Ghazvin","4",50,5919481.48148148,5130294.11764706,5494388.23453002
"404","Urban",26,"Ghazvin","8",50,11162000,9235483.87096774,10149486.5480314
"405","Urban",26,"Ghazvin","3",33,5121764.70588235,4439629.62962963,4784896.96095149
"406","Urban",26,"Ghazvin","7",60,9213529.41176471,7846481.48148148,8514073.0736691
"407","Urban",26,"Ghazvin","2",22,4377727.27272727,3536129.03225806,3852275.64300081
"408","Urban",26,"Ghazvin","1",10,3486818.18181818,2662948.71794872,3236346.51072777
