"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"354","Sabzi",20,313,84.8088780489187,0.5,0.04,3.39235512195675
"355","Shir",20,226,48.3047831238826,2.5,0.0321428571428571,1.55265374326765
"356","Sibzamini",20,323,45.7134457178079,0.9,0.03,1.37140337153424
"357","Tokhmemorgh",20,295,18.5465985710869,1.4,0.0882352941176471,1.63646457980179
"358","Berenj",21,109,45.9920586631989,2.4,0.09,4.1392852796879
"359","Ghand",21,234,43.1158189788278,4,0.03,1.29347456936483
"360","Goosht",21,82,7.84144060947997,2.5,0.225,1.76432413713299
"361","Hoboobat",21,132,9.55728357940648,3,0.1,0.955728357940648
"362","Khoshkbar",21,34,1.61214751160409,6,0.2,0.322429502320818
"363","Mahi",21,36,2.74536759947637,1,0.22,0.603980871884801
"364","Makarooni",21,184,24.7343719539589,3.6,0.0642857142857143,1.59006676846879
"365","Mast",21,176,32.7732897441174,1.5,0.04,1.31093158976469
"366","Mive",21,225,218.386994056888,0.5,0,0
"367","Morgh",21,206,38.1248633010734,2,0.22,8.38746992623616
"368","Nan",21,255,363.71378854477,2.5,0.10125,36.8260210901579
"369","Panir",21,227,11.1672170130483,2.5,0.333333333333333,3.72240567101609
"370","Roghan",21,225,30.7518592236772,8,0,0
"371","Sabzi",21,242,115.774602564685,0.5,0.04,4.6309841025874
"372","Shir",21,198,48.1254262489682,2.5,0.0321428571428571,1.54688870085969
"373","Sibzamini",21,253,49.0621695652898,0.9,0.03,1.47186508695869
"374","Tokhmemorgh",21,250,27.3520349008663,1.4,0.0882352941176471,2.41341484419409
"375","Berenj",22,311,83.6988474514721,2.4,0.09,7.53289627063249
"376","Ghand",22,357,31.5983948256304,4,0.03,0.947951844768912
"377","Goosht",22,55,2.6493978848569,2.5,0.225,0.596114524092803
"378","Hoboobat",22,338,19.4363285408704,3,0.1,1.94363285408704
"379","Khoshkbar",22,65,1.91060868550727,6,0.2,0.382121737101454
"380","Mahi",22,342,28.4229092404146,1,0.22,6.25304003289121
"381","Makarooni",22,354,70.8084597591804,3.6,0.0642857142857143,4.55197241309017
"382","Mast",22,419,36.3666108034613,1.5,0.04,1.45466443213845
"383","Mive",22,382,117.497939836231,0.5,0,0
"384","Morgh",22,417,48.4322707291724,2,0.22,10.6550995604179
"385","Nan",22,361,238.038926177756,2.5,0.10125,24.1014412754978
"386","Panir",22,365,11.0535910584924,2.5,0.333333333333333,3.68453035283079
"387","Roghan",22,376,38.3945997728079,8,0,0
"388","Sabzi",22,464,143.393523943994,0.5,0.04,5.73574095775975
"389","Shir",22,183,37.1932011851138,2.5,0.0321428571428571,1.19549575237866
"390","Sibzamini",22,436,63.6851727842393,0.9,0.03,1.91055518352718
"391","Tokhmemorgh",22,442,26.7179922766781,1.4,0.0882352941176471,2.35746990676572
"392","Berenj",23,315,60.0778063865844,2.4,0.09,5.4070025747926
"393","Ghand",23,491,29.6426677142768,4,0.03,0.889280031428303
"394","Goosht",23,255,7.57720886337205,2.5,0.225,1.70487199425871
"395","Hoboobat",23,264,10.1506489840092,3,0.1,1.01506489840092
"396","Khoshkbar",23,93,2.88316081449408,6,0.2,0.576632162898815
"397","Mahi",23,164,3.24764239048182,1,0.22,0.714481325906001
"398","Makarooni",23,505,24.5338358299067,3.6,0.0642857142857143,1.577175160494
"399","Mast",23,496,52.0650386963051,1.5,0.04,2.0826015478522
"400","Mive",23,555,212.99806652712,0.5,0,0
"401","Morgh",23,505,58.0960785973676,2,0.22,12.7811372914209
"402","Nan",23,571,293.622457205923,2.5,0.10125,29.7292737920997
"403","Panir",23,524,12.8811910826347,2.5,0.333333333333333,4.29373036087822
"404","Roghan",23,520,37.7198797431596,8,0,0
"405","Sabzi",23,569,176.321910139864,0.5,0.04,7.05287640559458
"406","Shir",23,396,61.432409044074,2.5,0.0321428571428571,1.97461314784524
"407","Sibzamini",23,554,80.6257861572424,0.9,0.03,2.41877358471727
"408","Tokhmemorgh",23,536,22.6267618015853,1.4,0.0882352941176471,1.99647898249282
"409","Berenj",24,32,21.7495839812085,2.4,0.09,1.95746255830876
"410","Ghand",24,109,41.286289209946,4,0.03,1.23858867629838
"411","Goosht",24,37,5.62995977973034,2.5,0.225,1.26674095043933
"412","Hoboobat",24,61,12.1795190732818,3,0.1,1.21795190732818
"413","Khoshkbar",24,39,1.04306174740897,6,0.2,0.208612349481795
"414","Mahi",24,12,1.24907809106648,1,0.22,0.274797180034625
"415","Makarooni",24,72,19.3012696620587,3.6,0.0642857142857143,1.24079590684663
"416","Mast",24,46,17.4881239763817,1.5,0.04,0.699524959055266
"417","Mive",24,104,147.795675192757,0.5,0,0
"418","Morgh",24,93,47.3196518883157,2,0.22,10.4103234154294
"419","Nan",24,119,447.425413227036,2.5,0.10125,45.3018230892374
"420","Panir",24,55,6.76295077090773,2.5,0.333333333333333,2.25431692363591
"421","Roghan",24,66,17.8649903499191,8,0,0
"422","Sabzi",24,115,135.903255249491,0.5,0.04,5.43613020997964
"423","Shir",24,78,88.2208428308229,2.5,0.0321428571428571,2.83566994813359
"424","Sibzamini",24,102,84.3479116176614,0.9,0.03,2.53043734852984
"425","Tokhmemorgh",24,115,35.3460286700978,1.4,0.0882352941176471,3.11876723559686
"426","Berenj",25,172,45.885202670868,2.4,0.09,4.12966824037812
"427","Ghand",25,332,22.9237240057708,4,0.03,0.687711720173123
"428","Goosht",25,150,5.94916202351307,2.5,0.225,1.33856145529044
"429","Hoboobat",25,204,11.3287892146611,3,0.1,1.13287892146611
"430","Khoshkbar",25,154,4.83306132584306,6,0.2,0.966612265168612
"431","Mahi",25,144,3.04470958913479,1,0.22,0.669836109609653
"432","Makarooni",25,363,20.3818926568165,3.6,0.0642857142857143,1.3102645279382
"433","Mast",25,325,39.4724283963647,1.5,0.04,1.57889713585459
"434","Mive",25,441,207.199402088538,0.5,0,0
"435","Morgh",25,351,36.6663126453879,2,0.22,8.06658878198534
"436","Nan",25,452,367.938422470211,2.5,0.10125,37.2537652751089
"437","Panir",25,386,11.368197604886,2.5,0.333333333333333,3.78939920162867
"438","Roghan",25,359,23.6985213026573,8,0,0
"439","Sabzi",25,449,164.107812982758,0.5,0.04,6.56431251931032
