"","Decile","Year","Total_Exp_Month_Per","G01","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13"
"41","4",94,851.384603668022,183.464237862194,1.78957083266662,5.26889736752548,90143.8838610243,24501.3607046073,231.545496542593,933.353948915714,73673.2910572751,223499.516030262,96458.5741893626,337458.991835996,2926247.96408635
"42","8",94,960.029128484431,236.946871111304,7.65243826773514,17.315223260753,101073.702073093,33554.9870561197,1242.95410334235,3147.9263590338,147443.753523251,376754.908249238,198912.568442514,461715.724597491,5169869.20820826
"43","1",94,699.438066281038,151.596294491143,1.59931530822921,3.91253465023179,71681.651578351,17906.2460825975,165.328065481661,563.948056754127,32675.2382439807,122178.529331588,26255.3737634627,204057.885682344,1508887.46220922
"44","5",94,864.240258044826,196.109277985503,3.03697901718238,8.97002567841562,89808.7398182852,25655.806475538,312.739963649209,1690.26940344994,83220.409003558,243408.173637699,100041.399146774,350665.756756613,3269645.24503607
"45","6",94,898.091499904757,213.53324500363,2.86434910112529,14.318315111408,94377.018743285,29967.397517837,373.510251969388,2198.14257935017,100020.640597339,278725.867491614,125300.250224265,390211.995362677,3998048.66739226
"46","10",94,975.108304362326,258.505318934688,9.88001280403663,42.0887954605162,104314.163091214,39297.9787223275,1576.42988463884,7135.54216512382,299017.528216178,617849.741002384,856678.69871474,874700.460694653,9757153.86964799
"47","7",94,890.149979380776,196.087479479614,10.3831607759779,8.84614232853829,93537.489701248,27831.5077899153,1297.16642967527,1488.41940089859,106667.105195962,371467.956004848,155088.908172704,411232.576541306,4567061.98838512
"48","3",94,813.318989343686,170.871662876305,2.05301530893856,6.59040944316105,83826.4721986249,21273.8512648426,275.272858964324,1027.91226231502,66079.0109486898,156731.975484654,68531.776924992,298810.737028757,2494229.8144341
"49","2",94,772.551070056832,142.70153478345,2.53476404788816,4.83382747957009,80048.4483238798,16690.3591337607,301.42291704986,888.24770151724,52670.5994804911,136935.515738851,44942.5156745342,271311.228538683,2117897.47945889
"50","9",94,948.613653980805,261.400944408124,7.67591080417047,14.6363561552339,99202.5551811161,38503.2944174425,1142.56361612099,2313.85844198109,140040.68808363,492770.968018791,234437.232760534,529493.192042412,6283092.95627497
"51","1",95,655.93369750549,194.582183309081,3.80242407077667,7.10000644916449,69373.4374373996,23605.2605576498,652.837133503261,1454.78576700202,47479.5897083477,119703.624833862,40647.2727304358,234629.383414304,1697969.58976602
