,Region,NewArea,NewArea2,Decile,N,Mean
160,Rural,8,Kerman,4,60,549121.3441
237,Rural,9,Khorasan_Razavi,4,85,1106944.251
279,Rural,10,Esfahan,4,67,1326304.929
120,Rural,11,Sistan,4,59,184481.8761
276,Rural,12,Kordestan,4,49,854996.1846
216,Rural,13,Hamedan,4,62,987976.2547
328,Rural,14,Chaharmahal,4,72,1714971.698
133,Rural,15,Lorestan,4,85,593157.9732
184,Rural,16,Ilam,4,60,644184.1122
384,Rural,17,Kohkilooye,4,80,540740.9541
266,Rural,18,Booshehr,4,62,1040266.054
294,Rural,19,Zanjan,4,73,1627165.754
178,Rural,20,Semnan,4,60,723752.9101
304,Rural,21,Yazd,4,60,2633933.536
278,Rural,22,Hormozgan,4,62,1196074.05
325,Rural,23,Tehran,4,67,753864.6294
327,Rural,24,Ardebil,4,51,1316284.429
244,Rural,25,Ghom,4,36,1868930.826
260,Rural,26,Ghazvin,4,61,903675.3774
164,Rural,27,Golestan,4,72,1213252.55
204,Rural,28,Khorasan_Shomali,4,90,956123.2016
176,Rural,29,Khorasan_Jonoobi,4,79,818825.5792
379,Rural,30,Alborz,4,58,929826.3701
390,Urban,0,Markazi,5,44,1379484.161
397,Urban,1,Gilan,5,73,1659938.223
455,Urban,1,Sh_Arak,5,15,1717653.763
388,Urban,2,Mazandaran,5,37,1641578.795
298,Urban,3,Az_Sharghi,5,26,1700970.451
277,Urban,4,Az_Gharbi,5,46,592483.0043
324,Urban,5,Kermanshah,5,39,1256069.804
330,Urban,6,Khoozestan,5,62,1461962.675
365,Urban,7,Fars,5,38,1184967.146
252,Urban,8,Kerman,5,46,1460497.233
339,Urban,9,Khorasan_Razavi,5,41,2164532.266
346,Urban,10,Esfahan,5,38,1749239.143
197,Urban,11,Sistan,5,43,565702.8307
393,Urban,12,Kordestan,5,62,1652743.866
258,Urban,13,Hamedan,5,69,820600.556
494,Urban,14,Chaharmahal,5,71,2079624.749
264,Urban,15,Lorestan,5,46,1450497.374
287,Urban,16,Ilam,5,61,1239866.797
425,Urban,17,Kohkilooye,5,60,1109511.318
366,Urban,18,Booshehr,5,69,1489033.723
317,Urban,19,Zanjan,5,46,1209784.634
236,Urban,20,Semnan,5,51,1186492.495
387,Urban,21,Yazd,5,48,2013946.686
466,Urban,22,Hormozgan,5,55,1153403.557
427,Urban,23,Tehran,5,76,1293894.889
358,Urban,24,Ardebil,5,61,1965552.168
394,Urban,25,Ghom,5,58,1868656.194
363,Urban,26,Ghazvin,5,40,2525817.881
291,Urban,27,Golestan,5,107,2300967.979
270,Urban,28,Khorasan_Shomali,5,70,1605578.189
274,Urban,29,Khorasan_Jonoobi,5,81,1561377.347
487,Urban,30,Alborz,5,12,1391474.138
453,Urban,105,Sh_Rasht,5,20,1090492.828
356,Urban,303,Sh_Tabriz,5,29,2741363.138
321,Urban,401,Sh_Urmia,5,9,463709.9389
367,Urban,502,Sh_Kermanshah,5,24,1181841.159
562,Urban,603,Sh_Ahvaz,5,15,2688890.719
441,Urban,707,Sh_Shiraz,5,26,1817117.557
491,Urban,808,Sh_Kerman,5,9,1295602.707
412,Urban,916,Sh_Mashhad,5,38,1393458.425
483,Urban,1002,Sh_Esfahan,5,29,1898288.29
318,Urban,1105,Sh_Zahedan,5,6,1927348.711
377,Urban,1304,Sh_Hamedan,5,16,1068183.488
