"","Year","Educ","ProvinceCode"
"94",87,0.104315959351112,3
"95",87,0.0936763760633643,4
"96",87,0.0985445080517624,5
"97",87,0.138019638079862,6
"98",87,0.150310063677938,7
"99",87,0.144136008172573,8
"100",87,0.122411168601543,9
"101",87,0.157618126223531,10
"102",87,0.0609493040692898,11
"103",87,0.0860017442038509,12
"104",87,0.109017606871661,13
"105",87,0.144499151939028,14
"106",87,0.123016490157643,15
"107",87,0.16103709785152,16
"108",87,0.104606949638525,17
"109",87,0.143518557170746,18
"110",87,0.118391455412507,19
"111",87,0.173400627417509,20
"112",87,0.174546885383847,21
"113",87,0.100708120942389,22
"114",87,0.197892846730795,23
"115",87,0.116590883635037,24
"116",87,0.148546048889717,25
"117",87,0.107143682540868,26
"118",87,0.113628791401992,27
"119",87,0.124389232622865,28
"120",87,0.0947142031457493,29
"121",88,0.109210677752417,0
"122",88,0.132550633951116,1
"123",88,0.171032255608368,2
"124",88,0.107258121643585,3
"125",88,0.08848938259789,4
"126",88,0.109596337514448,5
"127",88,0.138604863773035,6
"128",88,0.133651109421998,7
"129",88,0.113121961256617,8
"130",88,0.13557144275091,9
"131",88,0.174762846145717,10
"132",88,0.0632125390233817,11
"133",88,0.0833538119419022,12
"134",88,0.106491975949756,13
"135",88,0.144210421891355,14
"136",88,0.155203197204941,15
"137",88,0.188739614396854,16
"138",88,0.126762360847288,17
"139",88,0.140007226689801,18
"140",88,0.113952022971114,19
"141",88,0.176889079644352,20
"142",88,0.20533162571013,21
"143",88,0.0902205494605326,22
"144",88,0.191096092991994,23
"145",88,0.12092164476435,24
"146",88,0.144941593651056,25
"147",88,0.117847043417336,26
"148",88,0.116873959339329,27
"149",88,0.115500869302419,28
"150",88,0.111628025080795,29
"151",89,0.13917849907263,0
"152",89,0.157431335151244,1
"153",89,0.17547357428246,2
"154",89,0.134656109261015,3
"155",89,0.115986256497879,4
"156",89,0.137144819052076,5
"157",89,0.133557762368555,6
"158",89,0.173777383858156,7
"159",89,0.13727961934445,8
"160",89,0.144075590493517,9
"161",89,0.163062852335563,10
"162",89,0.0839760504979208,11
"163",89,0.086780856211812,12
"164",89,0.111408359219846,13
"165",89,0.168994163635616,14
"166",89,0.163465504960925,15
"167",89,0.235966715943448,16
"168",89,0.147738611256569,17
"169",89,0.142261732141629,18
"170",89,0.132739869293835,19
"171",89,0.18728731037926,20
"172",89,0.185294796913843,21
"173",89,0.101026861896954,22
"174",89,0.219215437527592,23
"175",89,0.113067095668856,24
"176",89,0.154632320977782,25
"177",89,0.150053550743876,26
"178",89,0.120170206656775,27
"179",89,0.130625807191225,28
"180",89,0.122315988623771,29
"181",90,0.153542685544409,0
"182",90,0.154634147661083,1
"183",90,0.177173333105503,2
"184",90,0.146880720953964,3
"185",90,0.112993708116813,4
"186",90,0.146144403634608,5
"187",90,0.151966405559131,6
"188",90,0.179700848654201,7
"189",90,0.150634182380705,8
"190",90,0.148871755504367,9
"191",90,0.176498015583977,10
"192",90,0.0852576446992163,11
"193",90,0.0889286187097464,12
"194",90,0.122291688926323,13
"195",90,0.190732910637517,14
"196",90,0.183283159495238,15
"197",90,0.237609796271002,16
"198",90,0.159979961645538,17
"199",90,0.144727581128021,18
"200",90,0.143536517234156,19
"201",90,0.175063177208239,20
"202",90,0.215990575960633,21
"203",90,0.113116224387486,22
"204",90,0.243984383645421,23
"205",90,0.126126361345073,24
"206",90,0.155547944471704,25
"207",90,0.146027152118712,26
"208",90,0.128527807333609,27
