"","Year","Marrital","ProvinceCode"
"186",90,0.836009129219981,5
"187",90,0.881488993111482,6
"188",90,0.851450874943326,7
"189",90,0.846689957983128,8
"190",90,0.841801906757189,9
"191",90,0.842216532684351,10
"192",90,0.88119771459105,11
"193",90,0.850001118899409,12
"194",90,0.86342283276581,13
"195",90,0.876385550870232,14
"196",90,0.891758960347644,15
"197",90,0.89790989447783,16
"198",90,0.913479441405636,17
"199",90,0.892078375248523,18
"200",90,0.885087681551641,19
"201",90,0.845621392770777,20
"202",90,0.83173309645847,21
"203",90,0.855675497720274,22
"204",90,0.821915703873451,23
"205",90,0.874458667518832,24
"206",90,0.899405110305382,25
"207",90,0.879845250894107,26
"208",90,0.865836735337959,27
"209",90,0.851905328239199,28
"210",90,0.808799814309306,29
"211",90,0.875264710354058,30
"212",91,0.85169554829885,0
