"","Year","Exp","ProvinceCode"
"83",86,2166902.11670779,22
"84",86,3708112.46523326,23
"85",86,2180723.49247039,24
"86",86,1596766.37381967,25
"87",86,2498972.8592502,26
"88",86,1499515.53854023,27
"89",86,1365174.01427257,28
"90",86,1309312.39273609,29
"91",87,1987060.46488818,0
"92",87,2703040.75147624,1
"93",87,2823255.78384629,2
"94",87,2746281.32443292,3
"95",87,2661062.04356555,4
"96",87,2289670.35925889,5
"97",87,2425881.60270905,6
"98",87,2594877.90512527,7
"99",87,2286542.61691979,8
"100",87,2356945.94580136,9
"101",87,3182782.1589901,10
"102",87,1106442.76163379,11
"103",87,1974808.93794915,12
"104",87,1912783.85458002,13
"105",87,2096765.06928951,14
"106",87,2450278.0191861,15
"107",87,2475913.35525791,16
"108",87,1533551.8871875,17
"109",87,2474360.76035151,18
"110",87,2566830.67055836,19
"111",87,2279633.88560439,20
"112",87,2095819.6391482,21
"113",87,2023950.88954567,22
"114",87,4300748.71051868,23
"115",87,2672275.12475352,24
"116",87,2053650.98206244,25
"117",87,3230778.75199176,26
"118",87,1846276.79734792,27
"119",87,1812583.92669418,28
"120",87,1488628.15432842,29
"121",88,2798927.3953205,0
"122",88,3164050.3606277,1
"123",88,2794370.87626948,2
"124",88,2976720.20472205,3
"125",88,2806721.05698291,4
"126",88,2536499.87297291,5
"127",88,2847296.38983237,6
"128",88,3540342.68721069,7
"129",88,2159781.22703561,8
"130",88,2522488.09164207,9
"131",88,3682447.36142108,10
"132",88,1116308.25013995,11
"133",88,2524106.49698387,12
"134",88,2254133.49103245,13
"135",88,2472327.78318228,14
"136",88,2826014.06492919,15
"137",88,2736230.15448297,16
"138",88,2052634.17441952,17
"139",88,2855548.4398226,18
"140",88,2511508.15033844,19
"141",88,2836431.65836724,20
"142",88,2267030.84933666,21
"143",88,2316582.331153,22
"144",88,4454356.57700379,23
"145",88,2845092.84933489,24
"146",88,2322383.53162602,25
"147",88,2815410.3239908,26
"148",88,2125634.11274342,27
"149",88,2072849.68757403,28
"150",88,1539237.8859057,29
"151",89,3476281.54987321,0
"152",89,3230476.3475966,1
"153",89,3702631.5023368,2
"154",89,3336261.34421544,3
"155",89,3301976.87788441,4
"156",89,3183200.73170595,5
"157",89,3125063.72098441,6
"158",89,4617929.04305076,7
"159",89,2620227.03838352,8
"160",89,2862036.53966558,9
"161",89,4078397.02153181,10
"162",89,1383576.02027226,11
"163",89,2675494.64930236,12
"164",89,2866945.28827437,13
"165",89,3115558.60601866,14
"166",89,2705931.9473968,15
"167",89,2397431.95718275,16
