,???,???,HLiterate,Knowledge,tenure,area,room,car,oven,frez_refrig,electricity,bathroom,ego,pipewater,???? ???????? ??? ?? ??? ?????,heatfuel,hotwater,G0451,G0452,G0453,G044,Energy_Share,Subsidy,Food_Share,Low_Calorie,Low_Protein,FoodKCaloriesHH_Per,No_Insurance,Area_Per,skeleton,House_High_Share,Tech_low,Equip_low
67,96,3,0.251071921,0.111048036,0.674371074,25.14512764,1.053872725,0.715088631,0.016661625,0.986796538,0.000573242,0.03067168,0.690765546,0.019618284,0.146859024,0.149512551,0.151075414,0.0214362,0.020869896,0.001902738,0.013978504,0.05818734,0.126136392,0.302879162,0.608904237,0.372254469,2042.809188,0.193123462,0.219987706,0.050104583,0.136483084,0.314994355,0.028198472
79,97,3,0.207629894,0.092371149,0.657067413,25.79496708,1.061843521,0.672452884,0.011400162,0.989619468,0.000483996,0.029715865,0.689240892,0.019506875,0.130811507,0.138265308,0.135390214,0.019288724,0.017820606,0.001211943,0.012993021,0.051314295,0.10424074,0.309260691,0.649039032,0.4215036,1972.595133,0.219577506,0.198219105,0.041433293,0.155372771,0.315896204,0.022325955
88,98,3,0.21648181,0.093235542,0.676512194,25.6088128,1.070097203,0.682945017,0.012337451,0.990963626,0.000532112,0.033298245,0.663696899,0.020612616,0.143897441,0.148808051,0.148547206,0.017276822,0.015932193,0.001344788,0.011389545,0.045943348,0.081461136,0.321518597,0.699483386,0.449790631,1903.958709,0.177488699,0.19015561,0.052240843,0.127488875,0.289074896,0.026435928
8,90,4,0.283741313,0.114588598,0.698320159,24.46521527,0.970937916,0.763662624,0.029079207,0.988199382,0.001556162,0.073142795,0.809604584,0.019647175,0.209005459,0.2106894,0.211627624,0.019227693,0.024646638,0.005895896,0.012631368,0.062401595,0.192407336,0.317545156,0.42890607,0.218680241,2396.020302,0.311477725,0.273509439,0.07683073,0.103985581,0.294820816,0.047533961
14,91,4,0.269975459,0.095606253,0.698025791,24.78292085,1.006739761,0.729918289,0.02481148,0.992419357,0.000864056,0.070375472,0.79818268,0.020692555,0.218450729,0.219161796,0.219489657,0.017012463,0.018338287,0.00453407,0.010263041,0.050147861,0.217943426,0.335166423,0.466391685,0.273183836,2318.342337,0.254549976,0.263384498,0.08039515,0.103068309,0.28193958,0.041366239
21,92,4,0.22553763,0.104683728,0.691270735,25.58679332,1.053814612,0.717360652,0.026299098,0.983668926,0.00115718,0.056295175,0.741560932,0.024729844,0.190776368,0.190318675,0.194410744,0.015056795,0.016685007,0.003359556,0.009923272,0.045024629,0.185468268,0.337052021,0.498507429,0.287775234,2227.85815,0.263335439,0.215669176,0.073769402,0.117518965,0.332486386,0.042004186
33,93,4,0.22513098,0.084386515,0.686705743,26.43136181,1.077703588,0.703540049,0.012277023,0.993078255,0,0.037743955,0.745646032,0.015232706,0.163681574,0.165078939,0.166069257,0.01712007,0.019943826,0.002796254,0.010163887,0.050024038,0.144454879,0.318461138,0.527432029,0.258537411,2208.681043,0.261832956,0.195074465,0.078205339,0.119178853,0.30084152,0.026750093
41,94,4,0.234961292,0.093402906,0.707302038,26.40999922,1.099523941,0.681398421,0.014634839,0.991877154,0.000340335,0.025420346,0.742576122,0.01410182,0.155588196,0.15800092,0.158630909,0.018666029,0.020900559,0.002874655,0.010796285,0.053237528,0.13193473,0.302760633,0.542534757,0.297146739,2194.714327,0.183351965,0.189292592,0.053531662,0.132621928,0.305054347,0.022136249
54,95,4,0.233084393,0.072901443,0.705349326,27.13697792,1.106578675,0.681030462,0.023899543,0.992832436,0.00016393,0.030951909,0.721913739,0.016276351,0.145312902,0.146026711,0.146588624,0.019395264,0.022557804,0.002622081,0.01243998,0.057015129,0.12128461,0.303306312,0.528118602,0.287129714,2198.66644,0.152020172,0.193783573,0.054029333,0.109387857,0.293619864,0.027994505
62,96,4,0.21684074,0.080477557,0.682583389,27.57801641,1.11739211,0.634869124,0.020343476,0.992503493,0,0.025793028,0.693405022,0.013253706,0.130296813,0.131965262,0.133938775,0.020018844,0.021000129,0.001700451,0.013328008,0.056047433,0.107961884,0.290732972,0.533656386,0.316278135,2155.071638,0.17565106,0.15433093,0.050420197,0.121212925,0.254134763,0.018617913
77,97,4,0.196980597,0.081985568,0.664230271,28.58523462,1.149787512,0.602775374,0.006959265,0.994049258,0.000189957,0.027504633,0.708029982,0.023912526,0.132068563,0.137419023,0.135549028,0.018855882,0.017542403,0.001338146,0.011894854,0.049631285,0.091329205,0.300197833,0.588301137,0.359851384,2089.098342,0.182145191,0.161271147,0.045660124,0.128853038,0.292282031,0.018804511
87,98,4,0.20811719,0.073764431,0.687569104,27.63553261,1.127421579,0.624374592,0.011653478,0.991231173,0.000110513,0.024946184,0.675832053,0.015949644,0.121410503,0.128000964,0.125025516,0.016024031,0.015880039,0.000948393,0.010985833,0.043838296,0.072983964,0.311839565,0.635085826,0.396907362,2017.819512,0.164302392,0.14812609,0.034195565,0.13086969,0.256927116,0.021299744
1,90,5,0.266174505,0.109601096,0.723766216,26.54938177,1.032157637,0.713498216,0.023724127,0.990213443,0.001696791,0.058242272,0.777682454,0.022018044,0.225421197,0.227677161,0.227700243,0.018539298,0.024788534,0.00669729,0.012598432,0.062623554,0.173746852,0.306933752,0.370358047,0.199065143,2563.803943,0.276320129,0.22336621,0.07458053,0.090100421,0.265270991,0.037609599
