"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"133","Sabzi",7,487,236.873171282022,0.5,0.04,9.47492685128089
"134","Shir",7,312,44.9517024147844,2.5,0.0321428571428571,1.44487614904664
"135","Sibzamini",7,456,48.9329491958777,0.9,0.03,1.46798847587633
"136","Tokhmemorgh",7,465,22.9140419064265,1.4,0.0882352941176471,2.02182722703763
"137","Berenj",8,567,96.6066437633456,1.2,0.09,8.6945979387011
"138","Ghand",8,586,42.503582674838,4,0.03,1.27510748024514
"139","Goosht",8,366,9.30498362557271,2.5,0.225,2.09362131575386
"140","Hoboobat",8,491,14.8632781876326,3,0.1,1.48632781876326
"141","Khoshkbar",8,148,2.83136801239232,6,0.2,0.566273602478465
"142","Mahi",8,65,1.53867283768776,1,0.22,0.338508024291308
"143","Makarooni",8,403,56.0488775763474,3.6,0.0642857142857143,3.60314212990805
"144","Mast",8,500,25.8183896395841,1.5,0.04,1.03273558558336
"145","Mive",8,609,92.5071785671379,0.5,0,0
"146","Morgh",8,604,59.0293819860908,2,0.22,12.98646403694
"147","Nan",8,556,317.913144938582,2.5,0.10125,32.1887059250314
"148","Panir",8,572,9.47187245416838,2.5,0.333333333333333,3.15729081805613
"149","Roghan",8,596,36.5103903237754,8,0,0
"150","Sabzi",8,624,106.87042046322,0.5,0.04,4.27481681852878
"151","Shir",8,341,32.7985603031748,2.5,0.0321428571428571,1.05423943831633
"152","Sibzamini",8,620,50.3358747970122,0.9,0.03,1.51007624391036
"153","Tokhmemorgh",8,616,15.0063519279021,1.4,0.0882352941176471,1.32408987599136
"154","Berenj",9,145,52.7504471426073,1.2,0.09,4.74754024283465
"155","Ghand",9,254,39.1242879370674,4,0.03,1.17372863811202
"156","Goosht",9,64,4.0840773530721,2.5,0.225,0.918917404441223
"157","Hoboobat",9,171,18.2734228722433,3,0.1,1.82734228722433
"158","Khoshkbar",9,58,2.87901480950112,6,0.2,0.575802961900223
"159","Mahi",9,43,1.3936143219749,1,0.22,0.306595150834477
"160","Makarooni",9,213,35.5550726934543,3.6,0.0642857142857143,2.2856832445792
"161","Mast",9,166,28.0387421092535,1.5,0.04,1.12154968437014
"162","Mive",9,255,131.790704035331,0.5,0,0
"163","Morgh",9,211,34.056446874055,2,0.22,7.4924183122921
"164","Nan",9,275,358.934608124059,2.5,0.10125,36.3421290725609
"165","Panir",9,204,8.39589139737735,2.5,0.333333333333333,2.79863046579245
"166","Roghan",9,261,44.5656393643864,8,0,0
