"","Year","Bargh_Share","Gaz_Share","Decile","Energy_Share"
"80",84,0.010624003460981,0.00978681067490318,"8",0.0350750013230659
"81",85,0.0199032841394398,0.0162666269398614,"1",0.0616489019471423
"82",85,0.0179996860493612,0.013805997122742,"2",0.052922203949276
"83",85,0.0160438600434072,0.0134711305848371,"3",0.0489155659190962
"84",85,0.0133492174022486,0.0118897858627287,"4",0.0422836989801156
"85",85,0.0120114536490854,0.0104139254745978,"6",0.0367513831195637
"86",85,0.0132984068751817,0.0111432325599845,"5",0.0406963549020337
"87",85,0.0106340083068826,0.00918317490639468,"7",0.0327618574841428
"88",85,0.00859113926793915,0.00711481269964112,"9",0.0253814384189782
"89",85,0.00977642050155853,0.00841576889413466,"8",0.0300906229754719
"90",85,0.00668466494554957,0.00548625636273872,"10",0.0202195309527168
"91",86,0.0178161090679257,0.0157217421372207,"1",0.0590458480063714
"92",86,0.0106149147672469,0.00981395236432227,"7",0.0320030419625428
"93",86,0.0139759172424134,0.0130233992972647,"3",0.0448165964863843
"94",86,0.0111554773103628,0.0104746860577372,"6",0.0339172981597835
"95",86,0.0115085893172505,0.0110267064207117,"5",0.0363168226585697
"96",86,0.0155460314659655,0.0137609009670172,"2",0.0486667296778189
"97",86,0.0132170144213862,0.0116778455357989,"4",0.0405548558551657
"98",86,0.00843280778577126,0.00748162446323162,"9",0.024797010528851
"99",86,0.00992162100898368,0.00883023949275765,"8",0.0297035967179159
"100",86,0.00678659006932035,0.00634996517585534,"10",0.0205346383163815
"101",87,0.0104831936958952,0.00969817310949544,"5",0.0320243209787509
"102",87,0.0112834179361695,0.00952088967487384,"4",0.0338594938049261
"103",87,0.0156950803156688,0.0155509834542994,"1",0.0558927698635592
"104",87,0.00885301660056222,0.00794715096643364,"7",0.0271167862167003
"105",87,0.00790440479107425,0.00743482406303686,"8",0.0243228264562293
"106",87,0.00948865292117642,0.00886833634990063,"6",0.0296304102321952
"107",87,0.0071320123526189,0.00649970009762022,"9",0.0218783925007663
"108",87,0.00595549648264854,0.00554991608936464,"10",0.0183961140289416
"109",87,0.0137508719730531,0.0118415865880294,"2",0.0432532794870989
"110",87,0.012182211594664,0.010735044626349,"3",0.0373098428053658
"111",88,0.00692091500912855,0.00638178708034405,"9",0.0209569370890158
"112",88,0.00878606128432492,0.00816154054195301,"7",0.0273564200135844
"113",88,0.00512070199109292,0.00499580727536228,"10",0.0162170412931867
"114",88,0.00721817657012756,0.00740766688853679,"8",0.0239399530210591
"115",88,0.0101921287606434,0.00959064901342085,"3",0.03299175731278
"116",88,0.00906427123861356,0.0083573765098136,"5",0.0281840437177077
"117",88,0.010269452603369,0.00890338835374656,"4",0.0314211528334731
"118",88,0.00891169120157537,0.00816618456440361,"6",0.0271675610690162
"119",88,0.011969689807463,0.0102225177702493,"2",0.0369167538065002
"120",88,0.0130404717515877,0.0128592927280091,"1",0.04549792375667
"121",89,0.00768404949608295,0.0110413862928183,"9",0.0267141597273289
"122",89,0.00991588159164803,0.0114872791284085,"5",0.0338257427781598
"123",89,0.00948893564519893,0.0114575382036932,"6",0.0324794436154694
"124",89,0.00631581041470299,0.0111906225760307,"10",0.0245977230924042
